# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.047 -2.6327316680452455 -1.9936458022185273 -2.6327316680452397 -1.9936458022185235 0.07017847862206981 -0.039233850012930116 0.07017847862208605 -0.039233850012918306
0.048 -2.5930827563967798 -2.007041380238935 -2.593082756396777 -2.007041380238933 0.07049878498130356 -0.04008885737511945 0.07049878498131683 -0.04008885737510943
0.049 -2.553760991217941 -2.01948095582661 -2.553760991217941 -2.01948095582661 0.07082758162502717 -0.04094495476037226 0.0708275816250377 -0.04094495476036434
0.05 -2.5147865201697117 -2.030995609081699 -2.5147865201697166 -2.030995609081703 0.0711649866938583 -0.0418021422635683 0.07116498669386355 -0.041802142263564386
0.051 -2.476177698062075 -2.0416162613123285 -2.476177698062082 -2.0416162613123343 0.07151112169437242 -0.04266041811880836 0.07151112169437492 -0.042660418118806276
0.052 -2.437951161305588 -2.0513735968971174 -2.4379511613055804 -2.0513735968971116 0.07186611155593721 -0.04351977860789767 0.07186611155595464 -0.043519778607883336
0.053 -2.400121903320814 -2.060297992802945 -2.400121903320811 -2.0602979928029437 0.07223008468849891 -0.04438021796458178 0.07223008468851179 -0.04438021796457227
0.054 -2.3627033503670924 -2.068419455413588 -2.3627033503670845 -2.0684194554135815 0.07260317304104522 -0.04524172827451993 0.0726031730410625 -0.04524172827450593
0.055 -2.3257074373088895 -2.075767564306605 -2.3257074373088877 -2.0757675643066023 0.07298551216111189 -0.04610429937044993 0.07298551216112346 -0.046104299370439195
0.056 -2.2891446828937956 -2.0823714226045875 -2.289144682893791 -2.082371422604583 0.07337724125475849 -0.04696791872275625 0.07337724125477224 -0.04696791872274345
0.057 -2.253024264167319 -2.088259613519283 -2.2530242641673186 -2.0882596135192832 0.07377850324738651 -0.047832571324848965 0.07377850324739617 -0.04783257132484114
0.058 -2.2173540896994295 -2.0934601627053473 -2.21735408969943 -2.093460162705347 0.07418944484497791 -0.04869823957341434 0.07418944484498688 -0.04869823957340587
0.059 -2.1821408713430475 -2.098000506041538 -2.1821408713430497 -2.0980005060415396 0.07461021659589752 -0.049564903143111225 0.07461021659590436 -0.049564903143105105
0.06 -2.1473901942875875 -2.101907462462288 -2.147390194287592 -2.101907462462292 0.07504097295298884 -0.05043253885560277 0.0750409729529931 -0.050432538855598445
0.061 -2.1131065852096653 -2.105207211470023 -2.113106585209661 -2.1052072114700184 0.0754818723359562 -0.051301120542593434 0.07548187233596905 -0.0513011205425807
0.062 -2.0792935783591378 -2.107925274968589 -2.0792935783591378 -2.107925274968589 0.07593307719390603 -0.052170618902609024 0.07593307719391447 -0.052170618902600566
0.063 -2.04595377945158 -2.110086503070132 -2.045953779451571 -2.1100865030701237 0.07639475406776487 -0.05304100135138254 0.07639475406778198 -0.05304100135136608
0.064 -2.0130889272675705 -2.1117150635406547 -2.013088927267549 -2.111715063540634 0.07686707365269262 -0.05391223186531869 0.07686707365272218 -0.05391223186528997
0.065 -1.9806999528863507 -2.112834434564409 -1.9806999528863507 -2.1128344345644083 0.07735021086010009 -0.05478427081795814 0.07735021086010807 -0.054784270817949586
0.066 -1.9487870365051407 -2.1134674005223695 -1.948787036505128 -2.1134674005223575 0.07784434487902271 -0.05565707480921896 0.0778443448790433 -0.05565707480919856
0.067 -1.9173496618160255 -2.113636050495275 -1.9173496618160308 -2.1136360504952814 0.07834965923716584 -0.056530596486601005 0.07834965923716809 -0.0565305964865992
0.068 -1.8863866679323438 -2.1133617792191366 -1.8863866679323342 -2.1133617792191255 0.07886634186057156 -0.0574047843588556 0.07886634186058868 -0.057404784358836426
0.069 -1.8558962988711094 -2.1126652902355785 -1.8558962988711072 -2.1126652902355767 0.07939458513261911 -0.058279582600851365 0.07939458513262898 -0.05827958260084121
0.07 -1.8258762506140043 -2.1115666009973584 -1.8258762506139978 -2.111566600997353 0.07993458595120206 -0.059154930850213464 0.07993458595121586 -0.059154930850199426
0.071 -1.7963237157800256 -2.1100850497036197 -1.7963237157800296 -2.1100850497036236 0.08048654578456627 -0.06003076399460418 0.08048654578456992 -0.06003076399459995
0.072 -1.7672354259545449 -2.1082393036563802 -1.767235425954538 -2.108239303656371 0.08105067072496554 -0.06090701194984562 0.08105067072497968 -0.06090701194982855
0.073 -1.7386076917272482 -2.106047368943859 -1.7386076917272497 -2.106047368943861 0.0816271715402323 -0.061783599428073196 0.08162717154023805 -0.06178359942806727
0.074 -1.710436440499516 -2.103526601271821 -1.7104364404995094 -2.103526601271812 0.08221626372247216 -0.06266044569601886 0.082216263722486 -0.06266044569600199
0.075 -1.6827172521266514 -2.100693717777071 -1.682717252126655 -2.1006937177770744 0.08281816753400954 -0.0635374643224619 0.08281816753401296 -0.0635374643224577
0.076 -1.6554453924660433 -2.0975648096718578 -1.6554453924660395 -2.0975648096718538 0.08343310804965626 -0.06441456291504026 0.08343310804966682 -0.06441456291502809
0.077 -1.6286158449048382 -2.09415535557952 -1.6286158449048365 -2.0941553555795176 0.08406131519536976 -0.06529164284542724 0.08406131519537824 -0.06529164284541698
0.078 -1.6022233399442527 -2.0904802354349177 -1.6022233399442487 -2.0904802354349137 0.08470302378234677 -0.06616859896299859 0.08470302378235708 -0.06616859896298656
0.079 -1.5762623829185047 -2.0865537448336577 -1.5762623829185032 -2.0865537448336555 0.08535847353644517 -0.06704531929610301 0.08535847353645344 -0.06704531929609282
